name,type,true_ra_deg,true_dec_deg,pred_ra_deg,pred_dec_deg,parsed,angular_error_deg
Sirius,star,101.2872,-16.7161,101.2872,-16.7161,1,0.0000
Canopus,star,95.9880,-52.6957,95.9880,-52.6957,1,0.0000
Arcturus,star,213.9153,19.1824,213.9154,19.1825,1,0.0001
Rigil Kentaurus,star,219.9021,-60.8340,219.9021,-60.8340,1,0.0000
Vega,star,279.2347,38.7837,279.2346,38.7836,1,0.0001
Capella,star,79.1723,45.9980,79.1723,45.9980,1,0.0000
Rigel,star,78.6345,-8.2016,78.6345,-8.2016,1,0.0001
Procyon,star,114.8255,5.2250,114.8254,5.2250,1,0.0001
Achernar,star,24.4285,-57.2368,24.4285,-57.2368,1,0.0001
Betelgeuse,star,88.7929,7.4071,88.7929,7.4071,1,0.0001
Hadar,star,210.9559,-60.3730,210.9558,-60.3731,1,0.0001
Altair,star,297.6958,8.8683,297.6958,8.8683,1,0.0000
Aldebaran,star,68.9802,16.5093,68.9802,16.5093,1,0.0001
Spica,star,201.2982,-11.1613,201.2982,-11.1613,1,0.0001
Antares,star,247.3519,-26.4320,247.3519,-26.4320,1,0.0000
Pollux,star,116.3290,28.0262,116.3287,28.0261,1,0.0002
Fomalhaut,star,344.4127,-29.6222,344.4127,-29.6222,1,0.0000
Deneb,star,310.3580,45.2803,310.3579,45.2803,1,0.0001
Mimosa,star,191.9303,-59.6888,191.9304,-59.6888,1,0.0001
Acrux,star,186.6496,-63.0991,186.6495,-63.0991,1,0.0001
Toliman,star,219.8961,-60.8375,219.8963,-60.8375,1,0.0001
Regulus,star,152.0930,11.9672,152.0929,11.9672,1,0.0001
Adhara,star,104.6565,-28.9721,105.9083,-28.9719,1,1.0952
Gacrux,star,187.7915,-57.1132,187.7911,-57.1131,1,0.0002
Bellatrix,star,81.2828,6.3497,81.2827,-5.2704,1,11.6201
Elnath,star,81.5730,28.6075,81.5729,28.6075,1,0.0001
Miaplacidus,star,138.2999,-69.7172,138.3029,-69.7183,1,0.0015
Alnilam,star,84.0534,-1.2019,84.0533,-1.2019,1,0.0001
Alnair,star,332.0583,-46.9610,332.0134,-46.9558,1,0.0311
Alnitak,star,85.1897,-1.9426,85.1897,-1.9426,1,0.0000
Alioth,star,193.5073,55.9598,193.5073,55.9599,1,0.0001
Kaus Australis,star,276.0430,-34.3846,276.0430,-34.3846,1,0.0000
Mirfak,star,51.0807,49.8612,51.0808,49.8612,1,0.0001
Dubhe,star,165.9320,61.7510,165.9321,61.7508,1,0.0002
Wezen,star,107.0978,-26.3932,107.0958,-26.3867,1,0.0068
Alkaid,star,206.8852,49.3133,206.8854,49.3133,1,0.0001
Avior,star,125.6285,-59.5095,126.2826,-59.6887,1,0.3764
Sargas,star,264.3297,-42.9978,264.3297,-42.9971,1,0.0007
Menkalinan,star,89.8822,44.9474,89.8821,44.9472,1,0.0002
Atria,star,252.1662,-69.0277,254.8457,-69.0388,1,0.9588
Alhena,star,99.4280,16.3993,99.4279,16.3992,1,0.0002
Peacock,star,306.4119,-56.7351,306.6479,-56.6674,1,0.1462
Castor,star,113.6494,31.8883,113.6500,31.8889,1,0.0008
Mirzam,star,95.6749,-17.9559,80.1917,-17.9483,1,14.7251
Alphard,star,141.8968,-8.6586,141.8967,-8.6586,1,0.0001
Alsephina,star,131.1759,-54.7088,131.3050,-54.7203,1,0.0755
Hamal,star,31.7934,23.4624,31.7929,23.4625,1,0.0005
Diphda,star,10.8974,-17.9866,10.8970,-17.9867,1,0.0004
Nunki,star,283.8164,-26.2967,285.9757,-26.2699,1,1.9362
Menkent,star,211.6706,-36.3700,211.6700,-36.3703,1,0.0006
Alpheratz,star,2.0969,29.0904,2.0967,29.0906,1,0.0003
Kochab,star,222.6764,74.1555,222.6763,74.1555,1,0.0000
Mirach,star,17.4330,35.6206,17.4333,35.6206,1,0.0003
Saiph,star,86.9391,-9.6696,86.9391,-9.6696,1,0.0000
Rasalhague,star,263.7336,12.5600,263.7335,12.5600,1,0.0001
Shaula,star,263.4022,-37.1038,263.4021,-37.1038,1,0.0001
Algol,star,47.0422,40.9556,47.0421,40.9556,1,0.0001
Almach,star,30.9748,42.3297,30.9750,42.3297,1,0.0001
Tiaki,star,340.6669,-46.8846,,,0,90.0000
Polaris,star,37.9546,89.2641,37.9529,89.2642,1,0.0001
Denebola,star,177.2649,14.5721,177.2649,14.5721,1,0.0001
Aspidiske,star,139.2725,-59.2752,141.0908,-69.3342,1,10.0887
Naos,star,120.8960,-40.0031,120.9667,-40.0056,1,0.0542
Alphecca,star,233.6720,26.7147,233.6721,26.7147,1,0.0001
Mizar,star,200.9814,54.9254,200.9812,54.9253,1,0.0001
Sadr,star,305.5571,40.2567,305.5554,40.2544,1,0.0026
Suhail,star,136.9990,-43.4326,128.8363,-45.2008,1,6.0990
Eltanin,star,269.1515,51.4889,269.1513,51.4486,1,0.0403
Schedar,star,10.1268,56.5373,10.1268,56.5373,1,0.0000
Mintaka,star,83.0017,-0.2991,83.0017,-0.2992,1,0.0001
Caph,star,2.2945,59.1498,2.2945,59.1498,1,0.0000
Dschubba,star,240.0834,-22.6217,240.0812,-22.6217,1,0.0020
Larawag,star,252.5409,-34.2932,329.8671,-56.9925,1,55.1638
Merak,star,165.4603,56.3824,165.4602,56.3824,1,0.0001
Izar,star,221.2468,27.0742,221.2371,27.0739,1,0.0087
Enif,star,326.0465,9.8750,326.0492,9.8753,1,0.0026
Ankaa,star,6.5709,-42.3061,6.5729,-42.3061,1,0.0015
Phecda,star,178.4577,53.6948,193.5071,53.6947,1,8.8939
Sabik,star,257.5945,-15.7249,257.5941,-15.7248,1,0.0004
Scheat,star,345.9436,28.0828,345.9438,28.1562,1,0.0735
Alderamin,star,319.6449,62.5856,319.6492,62.5858,1,0.0020
Aludra,star,111.0238,-29.3031,111.0475,-27.0694,1,2.2338
Markeb,star,140.5284,-55.0107,123.3546,-52.5636,1,10.4080
Aljanah,star,311.5528,33.9703,311.5527,33.9675,1,0.0028
Markab,star,346.1902,15.2053,346.1917,15.2053,1,0.0014
Pleiades,other,56.6008,24.1139,56.8500,24.1167,1,0.2275
Orion Nebula,other,83.8201,-5.3876,83.8221,-5.3911,1,0.0040
Crab Nebula,other,83.6324,22.0174,83.6332,22.0145,1,0.0030
Andromeda Galaxy,other,10.6847,41.2688,10.6846,41.2692,1,0.0004
Triangulum Galaxy,other,23.4621,30.6602,23.4621,30.6603,1,0.0001
Whirlpool Galaxy,other,202.4696,47.1953,202.4696,47.1953,1,0.0000
Hercules Cluster,other,250.4235,36.4613,250.4227,36.4603,1,0.0012
Ring Nebula,other,283.3962,33.0291,283.3962,33.0292,1,0.0001
Sombrero Galaxy,other,189.9976,-11.6231,189.9975,-11.6231,1,0.0001
Beehive Cluster,other,130.0542,19.6211,130.1000,19.9750,1,0.3565
Lagoon Nebula,other,270.9042,-24.3867,270.9375,-24.3867,1,0.0303
Omega Centauri,other,201.6970,-47.4795,201.6912,-47.4769,1,0.0047
Large Magellanic Cloud,other,80.8942,-69.7561,80.8942,-69.7561,1,0.0000
Carina Nebula,other,161.2593,-59.6999,161.2500,-59.8667,1,0.1668
Tarantula Nebula,other,84.6750,-69.1000,84.6750,-69.1008,1,0.0008
